Test,Threshold,Size,Time
Threshold Test - 10,10,200000,122316561
Threshold Test - 10,10,200000,68204705
Threshold Test - 10,10,210000,68610692
Threshold Test - 10,10,230000,77235048
Threshold Test - 10,10,260000,86536141
Threshold Test - 10,10,300000,104893322
Threshold Test - 100,100,200000,130595500
Threshold Test - 100,100,200000,130037513
Threshold Test - 100,100,210000,97306135
Threshold Test - 100,100,230000,111963406
Threshold Test - 100,100,260000,136174746
Threshold Test - 100,100,300000,169213776
Threshold Test - 1000,1000,200000,727022411
Threshold Test - 1000,1000,200000,728894258
Threshold Test - 1000,1000,210000,804058463
Threshold Test - 1000,1000,230000,960734342
Threshold Test - 1000,1000,260000,634879839
Threshold Test - 1000,1000,300000,838825510
Threshold Test - 10000,10000,200000,5591822891
Threshold Test - 10000,10000,200000,5591218231
Threshold Test - 10000,10000,210000,6136924434
Threshold Test - 10000,10000,230000,7401483801
Threshold Test - 10000,10000,260000,9401912597
Threshold Test - 10000,10000,300000,12515865791
Threshold Test - 100000,100000,200000,91276026116
Threshold Test - 100000,100000,200000,90828615187
Threshold Test - 100000,100000,210000,49948983291
Threshold Test - 100000,100000,230000,59607302165
Threshold Test - 100000,100000,260000,76683233328
Threshold Test - 100000,100000,300000,101619943812
