Test,Method,Size,Time,Collisions
addAll,bad,10,28561524243,96215
addAll,med,10,15066968644,96213
addAll,good,10,7618934715,96214
addAll,bad,100,26648998976,96146
addAll,med,100,4301021986,96129
addAll,good,100,1010291610,96129
addAll,bad,1000,19955454536,95484
addAll,med,1000,661007326,95690
addAll,good,1000,113906630,95292
addAll,bad,10000,26624798619,88923
addAll,med,10000,407134221,95309
addAll,good,10000,53606261,86850
addAll,bad,100000,27329493223,79598
addAll,med,100000,368693350,95296
addAll,good,100000,11407684,36659
